Country,2020,2021,2022,2023,2024,2025,Group
Australia,1362613,1655843.0,1725461.0,1742461.0,1796805.0,1771681.0,OECD
Austria,434050,480786.0,472339.0,512509.0,521269.0,534301.0,OECD
Belgium,529269,598892.0,593906.0,644968.0,664965.0,684864.0,OECD
Canada,1655685,2022382.0,2190411.0,2173340.0,2241253.0,2225341.0,OECD
Chile,254060,315411.0,301270.0,335627.0,330210.0,343823.0,OECD
Colombia,270348,318525.0,345632.0,366292.0,418542.0,427766.0,OECD
Costa Rica,62382,64954.0,69235.0,86509.0,95365.0,102591.0,OECD
Czech Republic,251110,290973.0,301831.0,343207.0,344931.0,360244.0,OECD
Denmark,355631,408378.0,401946.0,407092.0,429458.0,449940.0,OECD
Estonia,31795,37229.0,38406.0,41303.0,42752.0,45004.0,OECD
Finland,269784,294419.0,280474.0,295036.0,298833.0,303945.0,OECD
France,2645806,2968405.0,2797049.0,3056880.0,3162023.0,3211292.0,OECD
Germany,3936989,4351188.0,4166872.0,4527009.0,4658526.0,4744804.0,OECD
Greece,191210,218449.0,219053.0,243569.0,257067.0,267348.0,OECD
Hungary,158468,183283.0,178321.0,214098.0,223060.0,237070.0,OECD
Iceland,21630,25770.0,28696.0,31452.0,33463.0,35309.0,OECD
Ireland,436205,531660.0,549003.0,551554.0,577216.0,598840.0,OECD
Israel,410771,489854.0,525183.0,512185.0,540381.0,583361.0,OECD
Italy,1905956,2180656.0,2105722.0,2305271.0,2372059.0,2422855.0,OECD
Japan,5054069,5039148.0,4262146.0,4213167.0,4026211.0,4186431.0,OECD
South Korea,1744456,1942314.0,1799363.0,1839058.0,1869714.0,1790322.0,OECD
Latvia,33353,38209.0,38045.0,42584.0,43508.0,45535.0,OECD
Lithuania,57352,67068.0,71082.0,79824.0,84847.0,89192.0,OECD
Luxembourg,73612,86444.0,80865.0,87599.0,93169.0,96613.0,OECD
Mexico,1121065,1316569.0,1466465.0,1793799.0,1852723.0,1692640.0,OECD
Netherlands,931814,1055173.0,1047364.0,1154694.0,1227174.0,1272011.0,OECD
New Zealand,210541,249775.0,245203.0,253436.0,257728.0,248666.0,OECD
Norway,367633,503368.0,596298.0,482950.0,483727.0,504276.0,OECD
Poland,605930,689253.0,695734.0,809706.0,908583.0,979960.0,OECD
Portugal,229435,256226.0,257101.0,289781.0,308590.0,321440.0,OECD
Slovakia,107646,120672.0,116020.0,132947.0,140636.0,147031.0,OECD
Slovenia,53342,61570.0,59975.0,69168.0,72463.0,75224.0,OECD
Spain,1288751,1462216.0,1447636.0,1620558.0,1722227.0,1799511.0,OECD
Sweden,545148,637187.0,579896.0,585490.0,610118.0,620297.0,OECD
Switzerland,741288,814699.0,828522.0,894867.0,936738.0,947125.0,OECD
Turkey,717114,807893.0,905800.0,1130062.0,1322405.0,1437406.0,OECD
United Kingdom,2698705,3144079.0,3125404.0,3371118.0,3644636.0,3839180.0,OECD
United States,21354125,23681175.0,26006900.0,27720725.0,29184900.0,30507217.0,OECD
Afghanistan,20136,14278.0,14501.0,17248.0,575687.0729166666,599141.4497354497,Non-OECD
Albania,15271,18086.0,19185.0,23388.0,27259.0,28372.0,Non-OECD
Algeria,164774,185850.0,225709.0,247789.0,264913.0,268885.0,Non-OECD
Andorra,2885,3325.0,3376.0,3786.0,4038.0,4035.0,Non-OECD
Angola,66521,84375.0,142442.0,109764.0,115946.0,113343.0,Non-OECD
